# Number ot time steps:856 N. contractions:400 N. expansions:454
#   t    y(0)...   Estimated error=0.0746039
# hmin:0.0127324 hmax:0.25882
0 1 2 
21.5017 1.52055 -0.774471 
21.7486 1.31288 -0.914997 
21.9767 1.08559 -1.08858 
22.166 0.861959 -1.28409 
22.3371 0.623265 -1.51753 
22.5082 0.339009 -1.81694 
22.6504 0.0598352 -2.11193 
22.7575 -0.1788 -2.34236 
22.8514 -0.407583 -2.523 
22.937 -0.629104 -2.63972 
23.0169 -0.842089 -2.67785 
23.0967 -1.0545 -2.6226 
23.1773 -1.25981 -2.45896 
23.2603 -1.45304 -2.18331 
23.3252 -1.5861 -1.91018 
23.3866 -1.69475 -1.62547 
23.448 -1.78562 -1.3341 
23.5107 -1.86011 -1.04674 
23.5776 -1.92049 -0.764859 
23.6554 -1.96857 -0.479697 
23.7652 -2.00288 -0.160274 
23.8599 -2.00791 0.0449236 
23.9545 -1.99605 0.198879 
24.0512 -1.97086 0.316908 
24.1542 -1.93317 0.411919 
24.2679 -1.88155 0.492784 
24.3978 -1.81261 0.566555 
24.5507 -1.72026 0.640842 
24.7354 -1.59404 0.726613 
24.9617 -1.41694 0.842988 
25.2198 -1.17869 1.01452 
25.42 -0.958262 1.19691 
25.5973 -0.727965 1.4124 
25.7667 -0.466925 1.68052 
25.9362 -0.154703 2.01328 
26.0495 0.0873668 2.25789 
26.1479 0.319853 2.45973 
26.2364 0.544237 2.6031 
26.3181 0.760456 2.6731 
26.3966 0.970374 2.657 
26.4752 1.17515 2.54105 
26.559 1.37898 2.30451 
26.6272 1.52743 2.03995 
26.69 1.64676 1.75882 
26.7511 1.74542 1.46985 
26.8122 1.82642 1.18324 
26.8763 1.89305 0.90005 
26.9476 1.94691 0.618443 
27.0375 1.98868 0.321243 
27.1364 2.00735 0.067546 
27.2304 2.00482 -0.11337 
27.3243 1.98751 -0.249303 
27.4226 1.95751 -0.356576 
27.5291 1.91463 -0.445042 
27.6485 1.85674 -0.522281 
27.7865 1.77951 -0.595235 
27.9508 1.67539 -0.67242 
28.1508 1.53159 -0.767279 
28.3949 1.32848 -0.903941 
28.6272 1.09958 -1.07717 
28.818 0.876559 -1.27059 
28.9898 0.639482 -1.501 
29.1616 0.357196 -1.79747 
29.308 0.0722881 -2.09913 
29.4158 -0.166722 -2.33153 
29.5102 -0.395938 -2.51509 
29.5962 -0.617866 -2.63551 
29.6763 -0.831247 -2.67798 
29.7564 -1.04443 -2.62764 
29.8368 -1.25018 -2.4694 
29.9216 -1.4485 -2.19132 
29.9866 -1.58227 -1.9191 
30.0481 -1.6916 -1.63462 
30.1096 -1.78312 -1.34291 
30.1723 -1.85809 -1.05523 
30.2389 -1.91886 -0.773248 
30.3162 -1.96731 -0.488445 
30.4274 -2.00268 -0.163343 
30.5222 -2.00796 0.0427906 
30.6169 -1.99625 0.197415 
30.7137 -1.9712 0.31579 
30.8165 -1.93363 0.411 
30.9301 -1.88217 0.491979 
31.0598 -1.81344 0.565789 
31.2124 -1.72139 0.640023 
31.3967 -1.5956 0.725594 
31.6225 -1.41915 0.8415 
31.8812 -1.1807 1.01296 
32.0818 -0.960313 1.1951 
32.2592 -0.730144 1.41025 
32.4286 -0.469591 1.67769 
32.598 -0.157987 2.00982 
32.7116 0.084431 2.25509 
32.8102 0.317039 2.45757 
32.8988 0.54151 2.60174 
32.9806 0.757839 2.67274 
33.0591 0.967779 2.6578 
33.1377 1.17268 2.54313 
33.2214 1.37644 2.3083 
33.2897 1.52553 2.04389 
33.3526 1.64523 1.76289 
33.4137 1.74413 1.47404 
33.4748 1.82536 1.18732 
33.5388 1.8922 0.904043 
33.6099 1.94623 0.622473 
33.6994 1.98818 0.325815 
33.7985 2.00725 0.0705726 
33.8925 2.00498 -0.111085 
33.9864 1.98786 -0.247576 
34.0846 1.95803 -0.355195 
34.191 1.91534 -0.443874 
34.3102 1.85769 -0.521226 
34.4479 1.78078 -0.594189 
34.6116 1.67712 -0.671235 
34.8111 1.53401 -0.765707 
35.0545 1.33189 -0.901533 
35.2878 1.10263 -1.0747 
35.479 0.879742 -1.26766 
35.6509 0.643 -1.49742 
35.8228 0.361119 -1.79327 
35.9701 0.0749431 -2.0964 
36.0781 -0.164142 -2.3292 
36.1727 -0.393453 -2.51338 
36.2587 -0.615467 -2.63458 
36.3389 -0.828934 -2.67798 
36.419 -1.04228 -2.62868 
36.4995 -1.24813 -2.47158 
36.5847 -1.44756 -2.19297 
36.6497 -1.58148 -1.92095 
36.7112 -1.69094 -1.63652 
36.7727 -1.7826 -1.34473 
36.8353 -1.85768 -1.05699 
36.902 -1.91853 -0.774983 
36.9791 -1.96705 -0.49025 
37.0921 -2.00288 -0.160289 
37.187 -2.0079 0.0452719 
37.2818 -1.99597 0.19941 
